employee_id,id_funcionario,family_name,birth_date,gender,start_date,end_date,agency,rank
SMART1,SMART1,Owens,1970-03-18,F,2012-04-25,,National Park Department,Warden
SMART2,SMART2,Cohen,1941-09-19,F,2012-04-25,,Forest Conservation International,Forester
SMART3,SMART3,Barrett,1946-01-06,M,2012-04-25,,National Park Department,Ranger
SMART4,SMART4,Hewson,1960-05-10,M,2012-04-25,,Forest Conservation International,Researcher
SMART5,SMART5,Gordon,1966-01-17,M,2012-04-25,,National Park Department,Ranger
SMART6,SMART6,Hendrix,1942-11-27,M,2012-04-25,,Forest Conservation International,Administrator
SMART7,SMART7,Sarkisian,1946-05-20,F,2012-04-25,,National Park Department,Ranger
SMART8,SMART8,Sumner,1951-10-02,M,2012-04-25,,Forest Conservation International,Forester
SMART9,SMART9,Gillis,1975-07-09,M,2012-04-25,,National Park Department,Manager
SMART10,SMART10,Zimmerman,1941-05-24,M,2012-04-25,,Forest Conservation International,Researcher
