employee_id,given_name,family_name,birth_date,gender,start_date,end_date,agency,rank
SMART1,Dana,Owens,1970-03-18,F,2012-04-25,,National Park Department,Warden
SMART2,Ellen,Cohen,1941-09-19,F,2012-04-25,,Forest Conservation International,Forester
SMART3,Roger,Barrett,1946-01-06,M,2012-04-25,,National Park Department,Ranger
SMART4,Paul,Hewson,1960-05-10,M,2012-04-25,,Forest Conservation International,Researcher
SMART5,Rawlston,Gordon,1966-01-17,M,2012-04-25,,National Park Department,Ranger
SMART6,Johnny,Hendrix,1942-11-27,M,2012-04-25,,Forest Conservation International,Administrator
SMART7,Cherilyn,Sarkisian,1946-05-20,F,2012-04-25,,National Park Department,Ranger
SMART8,Gordon,Sumner,1951-10-02,M,2012-04-25,,Forest Conservation International,Forester
SMART9,John,Gillis,1975-07-09,M,2012-04-25,,National Park Department,Manager
SMART10,Robert,Zimmerman,1941-05-24,M,2012-04-25,,Forest Conservation International,Researcher
